Title,Presenter Name,Event,Presentation Date (YYYY-MM-DD,Publish On: path|osg|chtc|htcondor|pelican,Description,Image URL,Alt Image,Keywords,Youtube video ID,Public slides link
Navigating the PATh Forward,Miron Livny,HTC25,2025-06-02,path|osg|chtc|htcondor,"Miron Livny provides the opening remarks for HTC25. Livny discusses the Center for High Throughput Computing (CHTC) vision: Distributed high throughput computing and research computing facilitation are powerful enables or scientific discovery; The value proposition of throughput computing for researchers with AI workloads, and translational (computer) science. He also discusses that building a lasting relationship with a community requires an evolving value proposition and mutual trust.",,Navigating the PATh Forward Presented by Miron Livny,HTC25|Mission,https://youtu.be/bhPVon8n59M,https://agenda.hep.wisc.edu/event/2297/contributions/34149/
Expanding Facilitation Impacts,Christina Koch,HTC25,2025-06-02,path|osg|chtc|htcondor|pelican,"Christina Koch presents on facilitation impacts at HTC25. Lead Research Computing Facilitator Christine Koch describes the facilitation services provided to researchers and ways to connect. In addition, Koch discusses PATh's role as a resource provider for NAIRR and building a data community. ",,Expanding Facilitation Impacts presented by Christina Koch,HTC25|Facilitation|Mission,https://youtu.be/83ewUOTUWBA,https://agenda.hep.wisc.edu/event/2297/contributions/34393/
State of OSG,Frank Wuerthwein,HTC25,2025-06-02,path|osg|,"Frank Wuerthwein, OSG Executive Director,  discusses the current state of OSG, the compute and data services provided by OSG, fun facts on usage, and goals for the future. ",,State of OSG presented by Frank Wuerthwein,HTC25|Facilitation|Mission,https://youtu.be/XFpuTD5pHxo,https://agenda.hep.wisc.edu/event/2297/contributions/34150/
The Pelican in Flight: Delivering Data Services,Brian Bockelman,HTC25,2025-06-02,path|osg|htcondor|pelican,"Brian Bockelman, the Pelican Platform PI, discussed what Pelican does, and how it can be used. Bockelman discusses the Pelican Project that builds a software platform that delivers data to throughput computing and the Open Science Data Federation (OSDF), a global deployment of the platform. ",,The Pelican in Flight: Delivering Data Services presented by Brian Bockelman,HTC25|Pelican|OSDF,https://youtu.be/AGODoxIXHds,https://agenda.hep.wisc.edu/event/2297/contributions/34151/
Erik Wright's Keynote Presentation: Biological Discovery at an Unfathomable Scale,Erik Wright,HTC25,2025-06-02,path|osg|chtc|htcondor,"Recent technological advances have revealed an enormous diversity of lifeforms by sequencing their genomes. There are now millions of available genomes, each comprised of thousands of genes. The universe of newly discovered genes is expanding far faster than our ability to study them in the laboratory. Here, Erik Wright presents how high-throughput computing is unlocking the function of novel genes at an unfathomable scale.",,Erik Wright's Keynote Presentation: Biological Discovery at an Unfathomable Scale,HTC25|ResearchComputing|Biology,https://youtu.be/g1PN21vWB-Q,https://agenda.hep.wisc.edu/event/2297/contributions/33498/
David Swanson Awardee Presentation: Reconstructing Spider Webs from Behavioral Tracking,Brandi Pessman,HTC25,2025-06-02,path|osg|chtc|htcondor,"The OSG David Swanson award is awarded each year in memory of David Swanson to an attendee of the OSG School who has gone on to do interesting things. This year's recipient, Brandi Pessman, presents on how spiders respond to rising noise levels in cities. Using high-throughput computing, Brandi digitally reconstructed spider webs to track spider movements during web construction.",,David Swanson Awardee Brandi Pessman's Presentation: Reconstructing Spider Webs from Behavioral Tracking,HTC25|ResearchComputing|Biology,https://youtu.be/91Au7iGRabg,https://agenda.hep.wisc.edu/event/2297/contributions/33499/
Using OSG to learn the rules of biological evolution,Oana Carja,HTC25,2025-06-02,path|osg|chtc|htcondor,"Oana Carja discusses using the OSPool and high throughput computing in the field of biological evolution, with the aim of understanding the rules that govern evolutionary processes.",,Using OSG to learn the rules of biological evolution presented by Oana Carja,HTC25|ResearchComputing|Biology,https://youtu.be/y_79BF8EPxA,
Computational challenges in metagenomics and small molecule biosynthesis,Jason Kwan,HTC25,2025-06-02,path|osg|chtc|htcondor,"Jason Kwan presents on the use of high-throughput computing in metagenomics research, discussing how CHTC allows for large-scale searches and metagenomic assemblies that require a lot of RAM.",,Computational challenges in metagenomics and small molecule biosynthesis presented by Jason Kwan,HTC25|ResearchComputing|Biology,https://youtu.be/Ug3KN6PgnNc,
Understanding Gene Regulatory Networks,Prakriti Garg,HTC25,2025-06-02,path|osg|chtc|htcondor,Prakriti Garg presents on using throughput computing to study the gene regulatory network using network inference and unsupervised learning  ,,Understanding Gene Regulatory Networks Presented by Prakriti Garg,HTC25|ResearcherTalk|Biology,,https://agenda.hep.wisc.edu/event/2297/contributions/34346/
Our Current Vision for Trustworthy Long-Term CILogon Operations,Jim Basney,HTC25,2025-06-02,path|osg|htcondor,"Jim Basney presents on CILogon, a 15+ year effort to enable secure longon to scientific cyberinfrastructure (CI) for seamless identity and access management using federated identities (SAML, OIDC, OAuth, JWT) so researchers log on with their existing credentials. ",,,HTC25|AdminToolsandServices,https://youtu.be/-kv6BvWXi6U,https://agenda.hep.wisc.edu/event/2297/contributions/33928/
